1,1,45.6,32.4,2,Иванов,2015-03-12,3,1,нет,—
1,2,58,40,3,Петров,2012-06-25,4,2,да,Долг за 2 месяца
1,3,33.5,18,1,Сидорова,2019-09-01,1,0,нет,—
1,4,62.1,41,3,Орлова,2016-07-14,2,1,нет,—
1,5,71.8,49,4,Кузнецов,2011-10-03,5,3,да,Многодетная семья
2,6,54.2,36,2,Смирнова,2018-02-19,3,1,нет,—
2,7,39.6,25,1,Морозова,2020-11-11,1,0,нет,—
2,8,80.4,56,4,Васильев,2009-01-28,6,4,да,Большая задолженность
2,9,47.9,31,2,Фёдоров,2017-06-06,2,0,нет,—
2,10,66.3,45,3,Попов,2013-09-17,4,2,да,—
3,11,52.8,34,2,Соколов,2016-12-01,3,1,нет,—
3,12,59.4,40,3,Лебедев,2014-05-22,4,2,нет,—
3,13,35.2,21,1,Новикова,2021-03-09,1,0,нет,—
3,14,74.6,52,4,Козлов,2010-08-30,5,3,да,Многодетная семья
3,15,63.1,43,3,Павлова,2015-04-18,3,1,нет,—
4,16,48.7,30,2,Семёнов,2017-10-07,2,1,нет,—
4,17,82.9,58,4,Егоров,2008-12-12,6,4,да,Большая задолженность
4,18,55.5,37,2,Никитина,2019-06-03,3,1,нет,—
4,19,41.3,26,1,Волкова,2022-02-14,1,0,нет,—
4,20,69.8,47,3,Андреев,2012-11-25,4,2,да,—
5,21,57.6,38,2,Зайцева,2016-01-16,2,0,нет,—
5,22,73.2,50,4,Макаров,2009-07-08,5,3,да,Многодетная семья
5,23,46.9,29,2,Беляева,2018-09-21,3,1,нет,—
5,24,34.8,20,1,Громова,2020-05-05,1,0,нет,—
5,25,61.4,42,3,Комаров,2014-03-30,4,2,нет,—
6,26,53.7,36,2,Киселёв,2017-12-19,2,1,нет,—
6,27,79.1,55,4,Тарасов,2007-04-11,6,4,да,Большая задолженность
6,28,44.5,28,2,Борисова,2019-08-02,2,0,нет,—
6,29,67.9,46,3,Жуков,2013-10-23,4,2,да,—
6,30,36,20,1,Морозова,2021-01-10,1,0,нет,—
7,31,52.4,35,2,Фёдоров,2016-05-29,2,0,нет,—
7,32,70.6,48,3,Романова,2012-06-15,4,2,да,—
7,33,83.5,59,4,Гусев,2008-02-01,6,4,да,Многодетная семья
7,34,49.8,33,2,Крылова,2019-11-18,3,1,нет,—
7,35,38.2,23,1,Захарова,2022-04-09,1,0,нет,—
8,36,64.9,44,3,Блинов,2015-09-27,3,1,нет,—
8,37,56.1,37,2,Фролова,2017-07-13,2,1,нет,—
8,38,77.4,53,4,Денисов,2010-10-04,5,3,да,Многодетная семья
8,39,42.6,27,2,Мельникова,2018-03-01,2,0,нет,—
8,40,68.3,46,3,Антонов,2013-12-22,4,2,да,—
9,41,51.9,34,2,Панова,2016-08-08,3,1,нет,—
9,42,74.8,51,4,Матвеев,2009-05-17,5,3,да,—
9,43,35.9,21,1,Рябова,2020-10-29,1,0,нет,—
9,44,60.7,41,3,Фомин,2014-02-06,4,2,нет,—
9,45,82.1,57,4,Щербаков,2008-09-14,6,4,да,Большая задолженность
10,46,47.3,30,2,Сафонова,2017-06-20,2,1,нет,—
10,47,69.2,47,3,Куликов,2012-11-02,4,2,да,—
10,48,54.6,36,2,Ильина,2019-01-25,3,1,нет,—
10,49,39.4,24,1,Назарова,2021-07-07,1,0,нет,—
10,50,76.8,54,4,Прохоров,2010-03-19,5,3,да,Многодетная семья
10,51,58.5,39,2,Гаврилова,2016-04-28,2,0,нет,—
10,52,63.9,43,3,Калинин,2014-12-09,4,2,нет,—
10,53,45.1,29,2,Субботина,2018-08-16,2,1,нет,—
10,54,71.3,49,3,Королёв,2011-01-30,4,2,да,—
10,55,34.6,20,1,Алексеева,2022-02-03,1,0,нет,—
